axis,case_id,chamfer,condition,graph_f1,hd95,joint_type,motion,origin,status,voxel_iou
0.0,dev_arm-0573e1e127,0.001208277675455073,A,0.8,0.07023037055824607,0.6666666666666666,0.17187488020330763,0.14458520373293182,SUCCESS,0.48348348348348347
90.0,dev_arm-07307859e2,0.0006586791569824051,A,0.7058823529411764,0.0587625984126594,0.5454545454545454,0.1550446128383502,0.183339914320643,SUCCESS,0.5772058823529411
90.0,dev_arm-10f5f05385,0.002421635531863783,A,0.6,0.09883967913492761,0.6,0.270046815575933,0.3641750980681043,SUCCESS,0.346072186836518
90.0,dev_arm-21b8992ec4,0.0007975565068066826,A,0.125,0.061929710019653146,0.1,0.18979117081607433,0.23413706689437783,SUCCESS,0.5760233918128655
0.0,dev_arm-3ce41d3c31,0.0010826656436270779,A,0.8,0.06794184174204582,0.5555555555555556,0.35293030508491163,0.11899427803712767,SUCCESS,0.4228187919463087
0.0,dev_arm-42e898b1a2,0.006831416350299211,A,0.9090909090909091,0.17960755220161304,0.8333333333333334,0.10846875929802997,0.05872570502517459,SUCCESS,0.2045929018789144
45.0,dev_arm-43fa322555,0.0005951278194556617,A,0.5454545454545454,0.05490296655726689,0.375,0.30526118139637837,0.1920476123448246,SUCCESS,0.570446735395189
0.0,dev_arm-4c7b408826,0.0033459493144200434,A,0.8,0.12964032868414624,0.6666666666666666,0.2878292285828414,0.24447991834787183,SUCCESS,0.26899383983572894
90.0,dev_arm-551a9c392e,0.002910490393040422,A,0.30769230769230765,0.1254692186690372,0.2,0.20659440540808535,0.1618192369785822,SUCCESS,0.34108527131782945
,dev_arm-ab15a75247,,A,,,,,,FAILURE,
0.0,dev_arm-cb42051aad,0.004092680937884124,A,0.8,0.13372637365224324,0.6666666666666666,0.3262573311503992,0.18877495400090138,SUCCESS,0.30117647058823527
0.0,dev_arm-d55f01b988,0.006563088084205831,A,0.28571428571428575,0.16427170530242155,0.25,0.2591240727418254,0.11913353798580459,SUCCESS,0.24242424242424243
,dev_arm-dcc2b0ce1e,,A,,,,,,FAILURE,
45.0,dev_arm-f7b0b901d3,0.007446581335987061,A,0.8571428571428571,0.19497544478842826,0.75,0.22665108360894431,0.1127142938896328,SUCCESS,0.26968973747016706
0.0,dev_arm-fdadfa8bdd,0.003578345006492404,A,0.8,0.12205491994195751,0.6666666666666666,0.6573385220554948,0.2621270410141988,SUCCESS,0.2963917525773196
0.0,dev_arm-0573e1e127,0.0011915949667657833,B,0.8,0.0810758303783781,0.6666666666666666,0.17204821459071273,0.14458520373293182,SUCCESS,0.5283582089552239
90.0,dev_arm-07307859e2,0.0006003861544390261,B,0.7058823529411764,0.05757059406268094,0.5454545454545454,0.15011136627627947,0.183339914320643,SUCCESS,0.5935251798561151
90.0,dev_arm-10f5f05385,0.0019883077253450817,B,0.6,0.09341986557512878,0.6,0.2661122818106991,0.3641750980681043,SUCCESS,0.37254901960784315
90.0,dev_arm-21b8992ec4,0.0008812116034259139,B,0.125,0.06432189804874906,0.1,0.19506879366891786,0.23413706689437783,SUCCESS,0.5642458100558659
0.0,dev_arm-3ce41d3c31,0.0009732903116055393,B,0.8,0.06541461468333541,0.5555555555555556,0.3517723886936656,0.11899427803712767,SUCCESS,0.4781144781144781
0.0,dev_arm-42e898b1a2,0.006671309569079752,B,0.9090909090909091,0.17073256097666925,0.8333333333333334,0.10846882498337271,0.05872570502517459,SUCCESS,0.22198275862068967
45.0,dev_arm-43fa322555,0.0005699546179867374,B,0.5454545454545454,0.05325960809836259,0.375,0.3036780358935274,0.1920476123448246,SUCCESS,0.571917808219178
0.0,dev_arm-4c7b408826,0.0029672212052817867,B,0.8,0.11895335276404133,0.6666666666666666,0.28221500877896366,0.24447991834787183,SUCCESS,0.2869198312236287
90.0,dev_arm-551a9c392e,0.0024940932946180823,B,0.30769230769230765,0.1144980310248128,0.2,0.20563538232565853,0.1618192369785822,SUCCESS,0.32558139534883723
,dev_arm-ab15a75247,,B,,,,,,UPSTREAM_FAILURE,
0.0,dev_arm-cb42051aad,0.0038423422017666766,B,0.8,0.12303909767556014,0.6666666666666666,0.32680721893341413,0.18877495400090138,SUCCESS,0.2997658079625293
0.0,dev_arm-d55f01b988,0.006367704095033745,B,0.28571428571428575,0.1697196172778005,0.25,0.28243373392990484,0.11913353798580459,SUCCESS,0.2585669781931464
,dev_arm-dcc2b0ce1e,,B,,,,,,UPSTREAM_FAILURE,
45.0,dev_arm-f7b0b901d3,0.0075438355215888,B,0.8571428571428571,0.19699854777614648,0.75,0.22093973527362337,0.1127142938896328,SUCCESS,0.26588235294117646
0.0,dev_arm-fdadfa8bdd,0.0026202894484368914,B,0.8,0.10059248936107329,0.6666666666666666,0.6670323479497051,0.2621270410141988,SUCCESS,0.3114754098360656
0.0,dev_arm-0573e1e127,0.0008763114266717633,C,0.6666666666666666,0.0585563690606206,0.6666666666666666,0.0013011688141931431,0.0,SUCCESS,0.5401662049861495
0.0,dev_arm-07307859e2,0.0005898785080753833,C,0.8181818181818182,0.05428619068712543,0.8181818181818182,0.018146175112233924,0.0,SUCCESS,0.5054945054945055
0.0,dev_arm-10f5f05385,0.0229863950269845,C,0.8000000000000002,0.29651785230333755,0.8,0.05682703157874666,9.567037353975498e-15,SUCCESS,0.002881844380403458
0.0,dev_arm-21b8992ec4,0.00026530040850285096,C,0.6,0.03171446378065619,0.6,0.03040005925989562,0.0,SUCCESS,0.7288888888888889
0.0,dev_arm-3ce41d3c31,0.0007895600030978433,C,0.6666666666666666,0.063062662206529,0.6666666666666666,0.03794640682762511,0.0,SUCCESS,0.4851190476190476
0.0,dev_arm-42e898b1a2,0.000553902569984416,C,1.0,0.04857168750042628,1.0,0.017528116138955982,0.0,SUCCESS,0.6564705882352941
0.0,dev_arm-43fa322555,0.00039604745619088206,C,0.4375,0.039961981259500116,0.4375,0.02640743868532976,0.0,SUCCESS,0.607773851590106
0.0,dev_arm-4c7b408826,0.0012485808725383211,C,0.6666666666666666,0.0717712579760117,0.6666666666666666,0.024854857721535287,0.0,SUCCESS,0.48412698412698413
0.0,dev_arm-551a9c392e,0.0025969095377567307,C,0.35,0.11709135213823528,0.35,0.09243328032406256,0.0,SUCCESS,0.36049382716049383
0.0,dev_arm-ab15a75247,0.00800433237744279,C,1.0,0.18198468060051992,1.0,0.08577070588688626,0.0,SUCCESS,0.07392996108949416
0.0,dev_arm-cb42051aad,0.008029006333081847,C,0.6666666666666666,0.17301774392574856,0.6666666666666666,0.08521979668288995,0.0,SUCCESS,0.02857142857142857
0.0,dev_arm-d55f01b988,0.00040568878356351856,C,0.75,0.03948644799914541,0.75,0.013491077481291231,0.0,SUCCESS,0.6425855513307985
0.0,dev_arm-dcc2b0ce1e,0.0005173063059658017,C,0.6666666666666666,0.05046100214617073,0.6666666666666666,0.014708360214937984,0.0,SUCCESS,0.6282051282051282
0.0,dev_arm-f7b0b901d3,0.0015284390612788188,C,0.75,0.07695255836775597,0.75,0.04163955829902245,0.0,SUCCESS,0.4023809523809524
