case_id,component_count,condition,errors,feature_count,fusion_operations,joint_count,native_save_success,occurrence_transforms,rebuild_success,status,step_export_success,stl_export_success
dev_arm-0573e1e127,7,B,[],16,16,6,True,"{'base_link': {'expected_translation_cm': [0, 0, 0], 'actual_translation_cm': [0.0, 0.0, 0.0]}, 'link_1': {'expected_translation_cm': [0.0, 0.0, 15.0], 'actual_translation_cm': [0.0, 0.0, 15.0]}, 'link_2': {'expected_translation_cm': [0.0, 0.0, 35.0], 'actual_translation_cm': [0.0, 0.0, 35.0]}, 'link_3': {'expected_translation_cm': [0.0, 0.0, 65.0], 'actual_translation_cm': [0.0, 0.0, 65.0]}, 'link_4': {'expected_translation_cm': [0.0, 0.0, 89.0], 'actual_translation_cm': [0.0, 0.0, 89.0]}, 'link_5': {'expected_translation_cm': [0.0, 0.0, 107.0], 'actual_translation_cm': [0.0, 0.0, 107.0]}, 'link_6': {'expected_translation_cm': [0.0, 0.0, 116.0], 'actual_translation_cm': [0.0, 0.0, 116.0]}}",True,SUCCESS,True,True
dev_arm-07307859e2,7,B,[],17,17,6,True,"{'base_link': {'expected_translation_cm': [0, 0, 0], 'actual_translation_cm': [0.0, 0.0, 0.0]}, 'link_1': {'expected_translation_cm': [0.0, 0.0, 16.0], 'actual_translation_cm': [0.0, 0.0, 16.0]}, 'link_2': {'expected_translation_cm': [0.0, 0.0, 29.0], 'actual_translation_cm': [0.0, 0.0, 29.0]}, 'link_3': {'expected_translation_cm': [0.0, 0.0, 58.0], 'actual_translation_cm': [0.0, 0.0, 58.0]}, 'link_4': {'expected_translation_cm': [0.0, 0.0, 83.0], 'actual_translation_cm': [0.0, 0.0, 83.0]}, 'link_5': {'expected_translation_cm': [0.0, 0.0, 102.0], 'actual_translation_cm': [0.0, 0.0, 102.0]}, 'link_6': {'expected_translation_cm': [0.0, 0.0, 112.0], 'actual_translation_cm': [0.0, 0.0, 112.0]}}",True,SUCCESS,True,True
dev_arm-10f5f05385,6,B,[],16,16,5,True,"{'base_link': {'expected_translation_cm': [0, 0, 0], 'actual_translation_cm': [0.0, 0.0, 0.0]}, 'link_1': {'expected_translation_cm': [0.0, 0.0, 9.0], 'actual_translation_cm': [0.0, 0.0, 9.0]}, 'link_2': {'expected_translation_cm': [0.0, 0.0, 23.0], 'actual_translation_cm': [0.0, 0.0, 23.0]}, 'link_3': {'expected_translation_cm': [25.0, 0.0, 23.0], 'actual_translation_cm': [25.0, 0.0, 23.0]}, 'link_4': {'expected_translation_cm': [50.0, 0.0, 23.0], 'actual_translation_cm': [50.0, 0.0, 23.0]}, 'tool_flange': {'expected_translation_cm': [56.5, 0.0, 23.0], 'actual_translation_cm': [56.5, 0.0, 23.0]}}",True,SUCCESS,True,True
dev_arm-21b8992ec4,7,B,[],16,16,6,True,"{'base_link': {'expected_translation_cm': [0, 0, 0], 'actual_translation_cm': [0.0, 0.0, 0.0]}, 'link_1': {'expected_translation_cm': [0.0, 0.0, 20.0], 'actual_translation_cm': [0.0, 0.0, 20.0]}, 'link_2': {'expected_translation_cm': [0.0, 0.0, 40.0], 'actual_translation_cm': [0.0, 0.0, 40.0]}, 'link_3': {'expected_translation_cm': [0.0, 0.0, 65.0], 'actual_translation_cm': [0.0, 0.0, 65.0]}, 'link_4': {'expected_translation_cm': [0.0, 0.0, 90.0], 'actual_translation_cm': [0.0, 0.0, 90.0]}, 'link_5': {'expected_translation_cm': [0.0, 0.0, 96.0], 'actual_translation_cm': [0.0, 0.0, 96.0]}, 'link_6': {'expected_translation_cm': [0.0, 0.0, 102.0], 'actual_translation_cm': [0.0, 0.0, 102.0]}}",True,SUCCESS,True,True
dev_arm-3ce41d3c31,7,B,[],16,16,6,True,"{'base_link': {'expected_translation_cm': [0, 0, 0], 'actual_translation_cm': [0.0, 0.0, 0.0]}, 'link_1': {'expected_translation_cm': [0.0, 0.0, 20.0], 'actual_translation_cm': [0.0, 0.0, 20.0]}, 'link_2': {'expected_translation_cm': [0.0, 0.0, 32.0], 'actual_translation_cm': [0.0, 0.0, 32.0]}, 'link_3': {'expected_translation_cm': [55.0, 0.0, 32.0], 'actual_translation_cm': [55.0, 0.0, 32.0]}, 'link_4': {'expected_translation_cm': [101.0, 0.0, 32.0], 'actual_translation_cm': [101.0, 0.0, 32.0]}, 'link_5': {'expected_translation_cm': [113.0, 0.0, 32.0], 'actual_translation_cm': [113.0, 0.0, 32.0]}, 'tool_link': {'expected_translation_cm': [125.0, 0.0, 32.0], 'actual_translation_cm': [125.0, 0.0, 32.0]}}",True,SUCCESS,True,True
dev_arm-42e898b1a2,6,B,[],21,21,5,True,"{'base_link': {'expected_translation_cm': [0, 0, 0], 'actual_translation_cm': [0.0, 0.0, 0.0]}, 'link_1': {'expected_translation_cm': [0.0, 0.0, 8.2], 'actual_translation_cm': [0.0, 0.0, 8.2]}, 'link_2': {'expected_translation_cm': [0.0, 0.0, 15.2], 'actual_translation_cm': [0.0, 0.0, 15.2]}, 'link_3': {'expected_translation_cm': [0.0, 0.0, 31.2], 'actual_translation_cm': [0.0, 0.0, 31.2]}, 'link_4': {'expected_translation_cm': [-5.142487144685203e-05, 0.0, 45.19999999990555], 'actual_translation_cm': [-5.142487144685203e-05, 0.0, 45.19999999990555]}, 'link_5': {'expected_translation_cm': [-7.530070461860477e-05, 0.0, 51.6999999998617], 'actual_translation_cm': [-7.530070461860477e-05, 0.0, 51.6999999998617]}}",True,SUCCESS,True,True
dev_arm-43fa322555,7,B,[],18,18,6,True,"{'base_link': {'expected_translation_cm': [0, 0, 0], 'actual_translation_cm': [0.0, 0.0, 0.0]}, 'link_1': {'expected_translation_cm': [0.0, 0.0, 13.0], 'actual_translation_cm': [0.0, 0.0, 13.0]}, 'link_2': {'expected_translation_cm': [0.0, 0.0, 26.0], 'actual_translation_cm': [0.0, 0.0, 26.0]}, 'link_3': {'expected_translation_cm': [0.0, 0.0, 52.0], 'actual_translation_cm': [0.0, 0.0, 52.0]}, 'link_4': {'expected_translation_cm': [0.0, 0.0, 76.0], 'actual_translation_cm': [0.0, 0.0, 76.0]}, 'link_5': {'expected_translation_cm': [0.0, 0.0, 89.0], 'actual_translation_cm': [0.0, 0.0, 89.0]}, 'link_6': {'expected_translation_cm': [0.0, 0.0, 97.5], 'actual_translation_cm': [0.0, 0.0, 97.5]}}",True,SUCCESS,True,True
dev_arm-4c7b408826,7,B,[],13,13,6,True,"{'base_link': {'expected_translation_cm': [0, 0, 0], 'actual_translation_cm': [0.0, 0.0, 0.0]}, 'link_1': {'expected_translation_cm': [0.0, 0.0, 10.0], 'actual_translation_cm': [0.0, 0.0, 10.0]}, 'link_2': {'expected_translation_cm': [0.0, 0.0, 31.0], 'actual_translation_cm': [0.0, 0.0, 31.0]}, 'link_3': {'expected_translation_cm': [36.0, 0.0, 35.0], 'actual_translation_cm': [36.0, 0.0, 35.0]}, 'link_4': {'expected_translation_cm': [77.0, 0.0, 35.0], 'actual_translation_cm': [77.0, 0.0, 35.0]}, 'link_5': {'expected_translation_cm': [90.0, 0.0, 35.0], 'actual_translation_cm': [90.0, 0.0, 35.0]}, 'link_6': {'expected_translation_cm': [94.5, 0.0, 35.0], 'actual_translation_cm': [94.5, 0.0, 35.0]}}",True,SUCCESS,True,True
dev_arm-551a9c392e,7,B,[],19,19,6,True,"{'base_link': {'expected_translation_cm': [0, 0, 0], 'actual_translation_cm': [0.0, 0.0, 0.0]}, 'link_1': {'expected_translation_cm': [0.0, 0.0, 11.0], 'actual_translation_cm': [0.0, 0.0, 11.0]}, 'link_2': {'expected_translation_cm': [0.0, 0.0, 32.0], 'actual_translation_cm': [0.0, 0.0, 32.0]}, 'link_3': {'expected_translation_cm': [40.0, 0.0, 32.0], 'actual_translation_cm': [40.0, 0.0, 32.0]}, 'link_4': {'expected_translation_cm': [75.0, 0.0, 32.0], 'actual_translation_cm': [75.0, 0.0, 32.0]}, 'link_5': {'expected_translation_cm': [95.0, 0.0, 32.0], 'actual_translation_cm': [95.0, 0.0, 32.0]}, 'link_6': {'expected_translation_cm': [101.0, 0.0, 32.0], 'actual_translation_cm': [101.0, 0.0, 32.0]}}",True,SUCCESS,True,True
dev_arm-cb42051aad,7,B,[],15,15,6,True,"{'base_link': {'expected_translation_cm': [0, 0, 0], 'actual_translation_cm': [0.0, 0.0, 0.0]}, 'link_1': {'expected_translation_cm': [0.0, 0.0, 10.0], 'actual_translation_cm': [0.0, 0.0, 10.0]}, 'link_2': {'expected_translation_cm': [0.0, 0.0, 24.0], 'actual_translation_cm': [0.0, 0.0, 24.0]}, 'link_3': {'expected_translation_cm': [0.0, 0.0, 30.0], 'actual_translation_cm': [0.0, 0.0, 30.0]}, 'link_4': {'expected_translation_cm': [0.0, 0.0, 60.0], 'actual_translation_cm': [0.0, 0.0, 60.0]}, 'link_5': {'expected_translation_cm': [-0.0001395817939271698, 0.0, 97.99999999974364], 'actual_translation_cm': [-0.0001395817939271698, 0.0, 97.99999999974364]}, 'link_6': {'expected_translation_cm': [-0.00017631384496063555, 0.0, 107.99999999967618], 'actual_translation_cm': [-0.00017631384496063555, 0.0, 107.99999999967618]}}",True,SUCCESS,True,True
