condition,case_id,link_preserved,joint_count_preserved,axis_preserved,origin_preserved,limit_preserved,reason
B,dev_arm-0573e1e127,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
B,dev_arm-07307859e2,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
B,dev_arm-10f5f05385,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
B,dev_arm-21b8992ec4,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
B,dev_arm-3ce41d3c31,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
B,dev_arm-42e898b1a2,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
B,dev_arm-43fa322555,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
B,dev_arm-4c7b408826,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
B,dev_arm-551a9c392e,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
B,dev_arm-cb42051aad,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
B,dev_arm-d55f01b988,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
B,dev_arm-f7b0b901d3,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
B,dev_arm-fdadfa8bdd,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
D,dev_arm-0573e1e127,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
D,dev_arm-07307859e2,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
D,dev_arm-10f5f05385,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
D,dev_arm-21b8992ec4,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
D,dev_arm-3ce41d3c31,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
D,dev_arm-42e898b1a2,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
D,dev_arm-43fa322555,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
D,dev_arm-4c7b408826,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
D,dev_arm-551a9c392e,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
D,dev_arm-ab15a75247,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
D,dev_arm-cb42051aad,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
D,dev_arm-d55f01b988,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
D,dev_arm-dcc2b0ce1e,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
D,dev_arm-f7b0b901d3,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
D,dev_arm-fdadfa8bdd,True,True,False,False,False,CURRENT_TOOL_LAYER_CREATES_Z_AXIS_JOINTS_ONLY
