condition,case_id,gt_link,pred_link,chamfer_mm2
A,dev_arm-0573e1e127,base_link,base_link,0.0007169315766874329
A,dev_arm-0573e1e127,link_1,link_1,0.001714689655871969
A,dev_arm-0573e1e127,link_2,link_2,0.016808859997240543
A,dev_arm-0573e1e127,link_3,link_3,0.002246900975667736
A,dev_arm-0573e1e127,link_4,link_4,0.0015734706467522242
A,dev_arm-0573e1e127,link_5,link_5,0.003953508970113594
A,dev_arm-0573e1e127,link_6,link_6,0.02313361146541517
A,dev_arm-07307859e2,panda_link0,base_link,0.0008441919001293777
A,dev_arm-07307859e2,panda_link1,link_1,0.0009174890951706264
A,dev_arm-07307859e2,panda_link2,link_2,0.0011372318518477215
A,dev_arm-07307859e2,panda_link3,link_3,0.004173523383901596
A,dev_arm-07307859e2,panda_link4,link_4,0.017266436965733746
A,dev_arm-07307859e2,panda_link5,link_5,0.007692374408132637
A,dev_arm-07307859e2,panda_link6,link_6,0.01072761216915328
A,dev_arm-10f5f05385,base_link,link_1,0.01035138324746039
A,dev_arm-10f5f05385,YAW,link_2,0.017396753606904132
A,dev_arm-10f5f05385,BICEP,link_3,0.0902575128881482
A,dev_arm-10f5f05385,FOREARM,link_4,0.1301376602175976
A,dev_arm-10f5f05385,END-EFFECTOR,tool_flange,0.12774392184441372
A,dev_arm-21b8992ec4,arm_podest_link,link_1,0.02614236009947902
A,dev_arm-21b8992ec4,arm_1_link,link_3,0.09469049349183298
A,dev_arm-21b8992ec4,arm_2_link,link_4,0.19631442385672096
A,dev_arm-21b8992ec4,arm_3_link,link_5,0.07438309133998794
A,dev_arm-21b8992ec4,arm_4_link,link_6,0.062489098998130696
A,dev_arm-3ce41d3c31,base_link,base_link,0.0025372539997086316
A,dev_arm-3ce41d3c31,link_1,link_1,0.002828185424491572
A,dev_arm-3ce41d3c31,link_2,link_2,0.003920018236515738
A,dev_arm-3ce41d3c31,link_3,link_3,0.019946506824115535
A,dev_arm-3ce41d3c31,link_4,link_4,0.031107536792786834
A,dev_arm-3ce41d3c31,link_5,link_5,0.044563585127852134
A,dev_arm-3ce41d3c31,link_6,tool_link,0.08800335985858793
A,dev_arm-42e898b1a2,meca_base_link,base_link,0.00014191026923004334
A,dev_arm-42e898b1a2,meca_axis_1_link,link_1,0.0001898628014073763
A,dev_arm-42e898b1a2,meca_axis_2_link,link_2,0.0003366749524202978
A,dev_arm-42e898b1a2,meca_axis_3_link,link_3,0.0032021174594738127
A,dev_arm-42e898b1a2,meca_axis_4_link,link_4,0.030615608049994865
A,dev_arm-42e898b1a2,meca_axis_5_link,link_5,0.06491140530836054
A,dev_arm-43fa322555,fr3_link0,base_link,0.0004051943260761123
A,dev_arm-43fa322555,fr3_link1,link_2,0.0041830039994591025
A,dev_arm-43fa322555,fr3_link2,link_4,0.0954072546313298
A,dev_arm-43fa322555,fr3_link3,link_6,0.11761134295103293
A,dev_arm-4c7b408826,base_link,base_link,0.003436374006557847
A,dev_arm-4c7b408826,link_1,link_1,0.006336133475791632
A,dev_arm-4c7b408826,link_2,link_2,0.016415110935548302
A,dev_arm-4c7b408826,link_3,link_3,0.132657591233539
A,dev_arm-4c7b408826,link_4,link_4,0.16360671946844269
A,dev_arm-4c7b408826,link_5,link_5,0.14605087175448492
A,dev_arm-4c7b408826,link_6,link_6,0.1814913320709306
A,dev_arm-551a9c392e,pedestal,link_2,0.45155992922935145
A,dev_arm-551a9c392e,right_arm_base_link,link_5,0.8928284433646951
A,dev_arm-551a9c392e,right_l0,link_6,0.8692009740718705
A,dev_arm-cb42051aad,base_link,base_link,0.0016977805725236863
A,dev_arm-cb42051aad,link_1,link_1,0.004936683297328765
A,dev_arm-cb42051aad,link_2,link_2,0.017428751009056
A,dev_arm-cb42051aad,link_3,link_3,0.014788012999281407
A,dev_arm-cb42051aad,link_4,link_4,0.0566223816504724
A,dev_arm-cb42051aad,link_5,link_5,0.22167865354607122
A,dev_arm-cb42051aad,link_6,link_6,0.3599006260482964
A,dev_arm-d55f01b988,link1,link_1,0.0012453227858460758
A,dev_arm-d55f01b988,link2,link_2,0.0034241015189739694
A,dev_arm-d55f01b988,link3,link_3,0.004187072581069949
A,dev_arm-d55f01b988,link4,link_4,0.01946775554661878
A,dev_arm-d55f01b988,link5,finger_left,0.06739412984075865
A,dev_arm-d55f01b988,gripper_link,finger_right,0.07208302473097658
A,dev_arm-f7b0b901d3,base_link,base_link,0.0033562294231201844
A,dev_arm-f7b0b901d3,link_1,link_1,0.002214674936818146
A,dev_arm-f7b0b901d3,link_2,link_2,0.0010582930380824422
A,dev_arm-f7b0b901d3,link_3,link_3,0.0014783422012569103
A,dev_arm-f7b0b901d3,link_4,link_4,0.04421064029546906
A,dev_arm-f7b0b901d3,link_5,link_5,0.1449112640329604
A,dev_arm-f7b0b901d3,link_6,link_6,0.2693442346721078
A,dev_arm-fdadfa8bdd,base_link,base_link,0.0006272051424338824
A,dev_arm-fdadfa8bdd,link_1,link_1,0.0010431218407321798
A,dev_arm-fdadfa8bdd,link_2,link_2,0.07439968550243498
A,dev_arm-fdadfa8bdd,link_3,link_3,0.2675592621476222
A,dev_arm-fdadfa8bdd,link_4,link_4,0.6168185958485406
A,dev_arm-fdadfa8bdd,link_5,link_5,0.7707580299455885
A,dev_arm-fdadfa8bdd,link_6,link_6,0.8790231384242928
B,dev_arm-0573e1e127,base_link,base_link,0.0009515508962182761
B,dev_arm-0573e1e127,link_1,link_1,0.0021894736186915766
B,dev_arm-0573e1e127,link_2,link_2,0.017858464744653108
B,dev_arm-0573e1e127,link_3,link_3,0.0031971054280375867
B,dev_arm-0573e1e127,link_4,link_4,0.0017701646357777723
B,dev_arm-0573e1e127,link_5,link_5,0.007131764631293159
B,dev_arm-0573e1e127,link_6,link_6,0.018230917468278752
B,dev_arm-07307859e2,panda_link0,base_link,0.00047658083982549907
B,dev_arm-07307859e2,panda_link1,link_1,0.0013356350495913139
B,dev_arm-07307859e2,panda_link2,link_2,0.0008493263279085366
B,dev_arm-07307859e2,panda_link3,link_3,0.0032365906636378098
B,dev_arm-07307859e2,panda_link4,link_4,0.02281033117670192
B,dev_arm-07307859e2,panda_link5,link_5,0.011493304489317768
B,dev_arm-07307859e2,panda_link6,link_6,0.00804335164950076
B,dev_arm-10f5f05385,base_link,link_1,0.005956527959384031
B,dev_arm-10f5f05385,YAW,link_2,0.023771819727322584
B,dev_arm-10f5f05385,BICEP,link_3,0.08817142856488383
B,dev_arm-10f5f05385,FOREARM,link_4,0.1187045170018455
B,dev_arm-10f5f05385,END-EFFECTOR,tool_flange,0.12358716869138825
B,dev_arm-21b8992ec4,arm_podest_link,link_1,0.01999095435044363
B,dev_arm-21b8992ec4,arm_1_link,link_3,0.11140811603155745
B,dev_arm-21b8992ec4,arm_2_link,link_4,0.19656573910284192
B,dev_arm-21b8992ec4,arm_3_link,link_5,0.07586262270450264
B,dev_arm-21b8992ec4,arm_4_link,link_6,0.05807098276954507
