canonical_component_correspondence,case_id,chamfer,component_meshes,execution_status,expected_links,hausdorff_max,hd95,version,voxel_iou
True,dev_arm-ab15a75247,0.0176065910051431,5,SUCCESS,5,0.5122138916197938,0.3850261036910946,V1,0.2916666666666667
,dev_arm-4c7b408826,,,FAILURE,,,,V1,
True,dev_arm-dcc2b0ce1e,0.0026811115359566037,10,SUCCESS,10,0.25289306160090297,0.11676933185206263,V1,0.30982367758186397
True,dev_arm-43fa322555,0.007363619899113713,17,SUCCESS,17,0.25753933802272344,0.20641542690132242,V1,0.1335478680611424
True,dev_arm-551a9c392e,0.0068938632446092305,21,SUCCESS,21,0.29596278116014735,0.1891140847505505,V1,0.18893129770992367
True,dev_arm-ab15a75247,0.022184541905417195,5,SUCCESS,5,0.5564334400424391,0.430697606028264,V2,0.29523809523809524
True,dev_arm-4c7b408826,0.005185356087668777,10,SUCCESS,10,0.2943675425631401,0.1547272814915183,V2,0.30066445182724255
True,dev_arm-dcc2b0ce1e,0.004923386836753047,10,SUCCESS,10,0.25186148620546117,0.16149194627398278,V2,0.19877300613496932
True,dev_arm-43fa322555,0.019389506674559125,17,SUCCESS,17,0.27161782013429603,0.2291428626953664,V2,0.0885208452312964
,dev_arm-551a9c392e,,,FAILURE,,,,V2,
