part_id,robot_id,condition,mfr_trace,mechanical_feature_precision_trace,critical_feature_recall_trace,feature_requirements,features_realized_trace
R01_P00,R01,T1,1.0,1.0,1.0,3,3
R01_P00,R01,T0,1.0,1.0,1.0,3,3
R01_P01,R01,T1,1.0,1.0,1.0,3,3
R01_P01,R01,T0,0.6666666666666666,1.0,1.0,3,2
R01_P02,R01,T1,1.0,1.0,1.0,4,4
R01_P02,R01,T0,0.75,1.0,1.0,4,3
R01_P03,R01,T1,1.0,1.0,1.0,4,4
R01_P03,R01,T0,0.75,1.0,1.0,4,3
R01_P04,R01,T1,1.0,1.0,1.0,3,3
R01_P04,R01,T0,0.75,1.0,0.75,4,3
R02_P00,R02,T1,1.0,1.0,1.0,3,3
R02_P01,R02,T1,1.0,1.0,1.0,3,3
R02_P02,R02,T1,1.0,1.0,1.0,3,3
R02_P03,R02,T1,1.0,1.0,1.0,3,3
R02_P04,R02,T1,1.0,1.0,1.0,4,4
R02_P05,R02,T1,1.0,1.0,1.0,3,3
R02_P06,R02,T1,1.0,1.0,1.0,3,3
