part_id,robot_id,condition,cad_valid,editability_pass,gate_status,failed_criteria
R01_P00,R01,T1,True,True,LOCAL_REPAIR,iou;normalized_hd95
R01_P00,R01,T0,True,True,LOCAL_REPAIR,iou;normalized_hd95
R01_P01,R01,T1,True,True,LOCAL_REPAIR,iou;normalized_chamfer;normalized_hd95
R01_P01,R01,T0,True,True,LOCAL_REPAIR,iou;normalized_chamfer;normalized_hd95;mfr
R01_P02,R01,T1,True,True,LOCAL_REPAIR,iou
R01_P02,R01,T0,True,True,LOCAL_REPAIR,iou;mfr
R01_P03,R01,T1,True,True,REPLAN,iou;normalized_hd95
R01_P03,R01,T0,True,True,LOCAL_REPAIR,normalized_hd95;mfr
R01_P04,R01,T1,True,True,LOCAL_REPAIR,iou;normalized_hd95
R01_P04,R01,T0,True,True,LOCAL_REPAIR,iou;normalized_hd95;mfr;critical_feature_recall
R02_P00,R02,T1,True,True,LOCAL_REPAIR,iou;normalized_hd95
R02_P01,R02,T1,True,True,LOCAL_REPAIR,iou;normalized_hd95
R02_P02,R02,T1,True,True,LOCAL_REPAIR,iou
R02_P03,R02,T1,True,True,REPLAN,iou;normalized_chamfer;normalized_hd95
R02_P04,R02,T1,True,True,LOCAL_REPAIR,iou;normalized_chamfer;normalized_hd95
R02_P05,R02,T1,True,True,REPLAN,iou;normalized_chamfer;normalized_hd95
R02_P06,R02,T1,True,True,REPLAN,iou;normalized_hd95
