path,bytes,sha256
T2\R01_P00\round_1\part_state.json,1673,de48e062d8c2964de01bc408b59d597ebe61781ef9e0b517f98b8fda7a63ea76
T2\R01_P00\round_1\repair_log.json,189,65def2fbedcd9a552d814dd972dc50baeafca9c1d56ac08152442b83dffd5aa1
T2\R01_P00\round_1\review_contract.json,2057,a50545bccaed16531015a3a13c68857182966be2e8196bb8aa8d5a92c34cde1e
T2\R01_P00\round_2\agent_output.json,13010,dde9a57b129ed1103131f74cdd8d1923e4e848ffed08bd72f42d7b28c3a9a2e0
T2\R01_P00\round_2\cad_ir.json,7399,e3c42012f51e51972429d91d42bc46f503eaaaca6c863d2d75b8ad3ab3670c65
T2\R01_P00\round_2\cad_validity.json,871,27adf6461ce7793510be4452ea978b7e3915b08b753012373b964613f1203e8c
T2\R01_P00\round_2\execution_log.json,15756,f29dc0118755da045131cf78e5df83d9d996a17bfa273ba1e8d0e3109ed70387
T2\R01_P00\round_2\execution_result.json,913,953b611efccbfbab63ab40689330afad4aa9639eefe02d622f3d85f0ca24d401
T2\R01_P00\round_2\feature_graph.json,2347,b7fef0a6fba6637759c0d24f0c8073131616487f6b1aacb7db5e6e3895468631
T2\R01_P00\round_2\feature_tree.json,5631,a5ce964b0023419572572dcfaaa352d2071c48bb45cea53f358abe0c27798017
T2\R01_P00\round_2\freecad_job.json,206,c28c896123db53f31c218c7c2a3011a8c6ce1f5d8e5092cd6bc097704a277dc1
T2\R01_P00\round_2\freecad_stderr.txt,59,084e87e873b55857151f36d2447b00a35e8947c6582f4d8a8b7c039fdbce2dc1
T2\R01_P00\round_2\freecad_stdout.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
T2\R01_P00\round_2\metrics.json,1052,761c05ba8779deb143263a289c98f7b129b197ab745fbf79ea6b5a6a82ba5c00
T2\R01_P00\round_2\model.FCStd,54080,83a020e5ce95e00276a5733198b8d44e3e3c1cc1c911518951d9941351c9a65c
T2\R01_P00\round_2\model.step,54927,18724f0b468a43622951fe0784b4701bd28411baec242245a6971d7e729a26c9
T2\R01_P00\round_2\model.stl,88484,4140f812503e8c4ef21361e24a9d594f8678763d7185f23b9bb91a7e312e4aed
T2\R01_P00\round_2\part_state.json,2032,408ffbe41e25e332abf34380ce6dfe1787ee2cf9ab7d06941ff20242d3ab7bce
T2\R01_P00\round_2\post_review.json,370,6febd2069349efdd20b99286ab3f589340e4b840139cc633d540a5448248c33b
T2\R01_P00\round_2\repair_blueprint.json,2899,c9511234491acd2fc85a8126168d4973ae751d3deb9281a7899196e473e1be95
T2\R01_P00\round_2\repair_log.json,583,9beb0f81cc6c6721a6415ee0cc4ed2d2edef67606977ff8c76ba22476418e003
T2\R01_P00\round_2\review_contract.json,2239,ff5681e84277da1242cf552bea29cbf32d8df92551790ea3886cf4ba940fbac2
T2\R01_P00\round_3\agent_output.json,13074,b00aca0f174b99b72664c4b5f54abae2d49089d526e10c042326f65bd3ecc51f
T2\R01_P00\round_3\cad_ir.json,7461,e83f48409a51ab87965be66e2a79ab726884cfeba6f5e487124e1aacfebab0d2
T2\R01_P00\round_3\cad_validity.json,872,2839419a9949a14fa005782fdc54beca0a48d7b7645a1afdaae98317b8510a5f
T2\R01_P00\round_3\execution_log.json,15758,d28c9f70f7c7b061e98c3618fef4ad76adee34935780fcfe02478a46bcf2a641
T2\R01_P00\round_3\execution_result.json,913,bf9fd9694cacef4aefd650e9d12f101131fb05c5925c9f851c81c687f1db81f0
T2\R01_P00\round_3\feature_graph.json,2347,b7fef0a6fba6637759c0d24f0c8073131616487f6b1aacb7db5e6e3895468631
T2\R01_P00\round_3\feature_tree.json,5634,98f50d29fbf069bf159c75e49a60d4445830c7af2bdb3ef54c12671f9c7f432f
T2\R01_P00\round_3\freecad_job.json,206,ca47e5896368e671c9ec7ce96e071fbc23532639cbb49af2b072304027b44713
T2\R01_P00\round_3\freecad_stderr.txt,59,084e87e873b55857151f36d2447b00a35e8947c6582f4d8a8b7c039fdbce2dc1
T2\R01_P00\round_3\freecad_stdout.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
T2\R01_P00\round_3\metrics.json,1051,b9745e80a3b3dcb686fe66a5b58673081e55b51001178e3675cbb86bbe80130a
T2\R01_P00\round_3\model.FCStd,54249,681c5a29c71dfb867ebfc33bdfd28191dd21a79dc4314fcb835e482002b85f72
T2\R01_P00\round_3\model.step,54951,db4e59d5315a8bf4717225ac616069a6710bf04f2b579cad0ffd89a0922fa329
T2\R01_P00\round_3\model.stl,88684,260d244b17d829ded0a8f14285942d5ac93dc6418560143be69f6e289375bfda
T2\R01_P00\round_3\part_state.json,2416,39f85a1d8529fda2028abdc8aa6987d00299fc10c4cf591a7e4306c75830e085
T2\R01_P00\round_3\post_review.json,370,52665bb48993ff1a5d7d3f16396b8b407728ad9f513b6cab9e9f7f5ec117e247
T2\R01_P00\round_3\repair_blueprint.json,2899,9f90f14d9da9525d5ec4c5c9df346e157be7f2dbee9a52932c3041fa2d0dbb56
T2\R01_P00\round_3\repair_log.json,584,c5305ec9f82a08030a0e879a6aae9415ef4f13b7e93674ffdda7f99bb0064227
T2\R01_P00\round_3\review_contract.json,2490,3b2c522cb6328dd1380a45d07b1e4c6bd9a1a593fe750bccb62912c1e63b2dfe
T2\R01_P00\round_2\renders\front.png,8738,67f0b12954dc41c346b0095d31008f079a38a32de2cdf9728c02b8db92da9145
T2\R01_P00\round_2\renders\isometric.png,18462,3d4475c1df79bf2e43deaafce6e909ed06759b27dd10475a8ec13a6b4b0e7918
T2\R01_P00\round_2\renders\side.png,8384,33a9d27a7067546c801e10d4f93f7a60ea38144a94c7bc170433027c203acbdd
T2\R01_P00\round_2\renders\top.png,8704,f3c2e97471a8da7ecda237bffa60ab7de3247d316d3692effc0d77529383d13e
T2\R01_P00\round_3\renders\front.png,8782,d830db64f8dd5dd1e4694724dce929214ad913504b6e3d74c9acb2b11a0350ff
T2\R01_P00\round_3\renders\isometric.png,17942,b177a793a3c6a04ba45ba81f9ea635686caf778d5e11f2a0e1713f9616c2d576
T2\R01_P00\round_3\renders\side.png,8277,880f68a7f2b7af0c214ec72e6a7ce850a46bf1c8859f93af3415f512a8a4c32d
T2\R01_P00\round_3\renders\top.png,8451,c51337106567eb8fc21622e1b99fc623149b602a4ba1d58f03490ee0b8baeb9b
T2\R01_P01\round_1\agent_output.json,12748,9f8400b3a62d2dce3407abe6f1f29aad120cbc6e93f815646a6c45486c7f8498
T2\R01_P01\round_1\cad_ir.json,7221,bed7590aecb3bc010f811e9ecd710561d0a6b3cda7fc6379d8e222d970b84463
T2\R01_P01\round_1\cad_validity.json,882,a8e5d1851272a50f2ade4d69a474ef445c9b6bb1ed0dd1868ddc883a7dbcd51c
T2\R01_P01\round_1\execution_log.json,15719,39b9147ff87ef033cfffa86c44e3e6a176371eeb5b6691640500091ac10fb3fb
T2\R01_P01\round_1\execution_result.json,924,d3000c354728ef1bcd4824a885114846c0005eca5eee4b6b5e7dee0408f6bcaf
T2\R01_P01\round_1\feature_graph.json,2314,8184bb5bbd29924e82164cd908148b95b9570e0b65b5c60fbbca33a43cc4e0a5
T2\R01_P01\round_1\feature_tree.json,4712,2cc31a815e7b6ee360a0caed7b4992b682809a39c046bae2afa13a1e63dc4501
T2\R01_P01\round_1\freecad_job.json,206,d2a375537767f4969ef9012361b943e665a2abb33ffe66500dfc6234bdcc9fde
T2\R01_P01\round_1\freecad_stderr.txt,59,084e87e873b55857151f36d2447b00a35e8947c6582f4d8a8b7c039fdbce2dc1
T2\R01_P01\round_1\freecad_stdout.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
T2\R01_P01\round_1\metrics.json,1062,2e5589424ae1a5df20d8e85f8d2278228245895d2e91b7c320d8d59807eb51a8
T2\R01_P01\round_1\model.FCStd,22415,49870d4266644b8bf8c364288b0e6824ae1dc37f3af290204091e366a1878505
T2\R01_P01\round_1\model.step,33605,bd86ab429102aab68296207c9e9e1d4b84e142421afba233153bc47c57518190
T2\R01_P01\round_1\model.stl,54084,898985e67ccda0ef895f0e0640cb85f645b9f376b663cdaaeb4b7be4b6d71c6e
T2\R01_P01\round_1\part_state.json,1863,f593050c40fabfb08b465a3feacb57280753c3519ce20c2ac54cd2ae3126ea6c
T2\R01_P01\round_1\post_review.json,378,3f040594d9f2b3066875cc6a18f61eaa836e7f3d9bf3ddf8e646cbe777bfb6cd
T2\R01_P01\round_1\repair_blueprint.json,2804,ceca2aa16e626fbfa96f9ea3e47d68ebc23da711acdbf2abb0ec83fa885cc0dd
T2\R01_P01\round_1\repair_log.json,963,b9731d585ce44c19cc568c138050bd5311e5deec2a1a424af66cc6b40d8c530a
T2\R01_P01\round_1\review_contract.json,2182,2397aa76294da01c4c74881b017ceb3ac69f8449352184e997a5683823752f62
T2\R01_P01\round_2\agent_output.json,12812,70aeecb67f6233367ed292615f354c092146e59457b742c3ba09b94778d2a63e
T2\R01_P01\round_2\cad_ir.json,7283,efb758fdd5e4a9326d2cba19a01d1836ee7edcc8a72df0a71fdde2dc6126aa9e
T2\R01_P01\round_2\cad_validity.json,881,e1f60cabff887eb6b3a1a6339253e51892282328d07f56fc4198b8277444043d
T2\R01_P01\round_2\execution_log.json,15722,9ce2115f07cd756634056e88dc358a7ddb4728cb25a1ab0c5297bc889dadcb24
T2\R01_P01\round_2\execution_result.json,923,b58886eb62cd9562adf33250fc4b9845c68f272689b7707de29076564481dd0d
T2\R01_P01\round_2\feature_graph.json,2314,8184bb5bbd29924e82164cd908148b95b9570e0b65b5c60fbbca33a43cc4e0a5
T2\R01_P01\round_2\feature_tree.json,4711,801799200f3d19ca0c2dfaeb2b51b8be611621f4e2ef0848cef0acdda4bdb45f
T2\R01_P01\round_2\freecad_job.json,206,32f048613712c9201633ef6995c903b1e57ae52d4c7c5f8d985b6d8f4034a4bf
T2\R01_P01\round_2\freecad_stderr.txt,59,084e87e873b55857151f36d2447b00a35e8947c6582f4d8a8b7c039fdbce2dc1
T2\R01_P01\round_2\freecad_stdout.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
T2\R01_P01\round_2\metrics.json,1060,a7bb864f4318c93f806d28ff7bc56b7cd35b17828309fc9ee92e2b3f18125151
T2\R01_P01\round_2\model.FCStd,21589,d458bbe2917a9cd3c06e5548c465426f14f2f20233d81fa85208d32be5b2f7f2
T2\R01_P01\round_2\model.step,30738,cb1986c1e0417f08a0c96c0fcc6c1cc9573f7a8af83e15c9f9c402eac481b887
T2\R01_P01\round_2\model.stl,44484,1a82fcff222688fd54dc57bb8f7e71dbcd70e9e93138624fbae9059b685d6530
T2\R01_P01\round_2\part_state.json,2162,6629b681b3b8f59151502142e213f68649bc3ca77ca0a9d6db399e0fd62ac12e
T2\R01_P01\round_2\post_review.json,378,6227f2516779c518ad47399a94019ab5919bd221b1c428e7ae00800c55f65b96
T2\R01_P01\round_2\repair_blueprint.json,2804,38a418575e2a0b51658e9e7fd0c3b2de202995db9f562e89fb3c2c3768d64af9
T2\R01_P01\round_2\repair_log.json,644,01633f8c7f75d1bec2bfc95ce9a022f2af89695f8562794a0a6fc43cde46ce69
T2\R01_P01\round_2\review_contract.json,2310,d81c4a1c817744fd209e5ec2bc6cd6e8238b4495155e4028c90dec7296e52033
T2\R01_P01\round_3\agent_output.json,12876,48324f06478d04a5017c23d64c24e63579d50f493b97483e699bb45dc7de58d1
T2\R01_P01\round_3\cad_ir.json,7345,e69f4ed3e92b4f211362b9be74fa9ee1b2232e7cf2fbe68400edcf33aa1f8bf6
T2\R01_P01\round_3\cad_validity.json,882,5b67fde103f5320a6abc6ca17939acea290bc6117e330c73e831a1e4f2605bc1
T2\R01_P01\round_3\execution_log.json,15734,bdefdf957757be8b644bf57b4cd7b718c40056f6078a315bc73ffa55b7ea624b
T2\R01_P01\round_3\execution_result.json,924,7a23e7ddb26258df48b4a54408b8490a728ba003d1e1a761eb1f141a379cfc35
T2\R01_P01\round_3\feature_graph.json,2314,8184bb5bbd29924e82164cd908148b95b9570e0b65b5c60fbbca33a43cc4e0a5
T2\R01_P01\round_3\feature_tree.json,4722,ce0cad05cbabceb6eb4ae037033881eb02f07dc3fc180a16c994509455ef806c
T2\R01_P01\round_3\freecad_job.json,206,b19f6d527aba74ac654a0db6b78c207398c85b1d9c4efabe419689e45947f389
T2\R01_P01\round_3\freecad_stderr.txt,59,084e87e873b55857151f36d2447b00a35e8947c6582f4d8a8b7c039fdbce2dc1
T2\R01_P01\round_3\freecad_stdout.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
T2\R01_P01\round_3\metrics.json,1062,1a4ffd6f365e21507282ad21e8fcf9c871a4835b3dde4ff0d6da326bd40dd7f0
T2\R01_P01\round_3\model.FCStd,21538,eeea0ddc06e8269274db5fc517d5bf3414ef551d96d914e818e9f9d36d572888
T2\R01_P01\round_3\model.step,30706,52b3795653dd76826e6900f0a6967f63d6507c7734f6ab1fcb359086e6adada3
T2\R01_P01\round_3\model.stl,42884,e4aa4440092e9700167a8006fe71b17d1814e40ea078de54fa787a655b933c08
T2\R01_P01\round_3\part_state.json,2458,0920b510fa78c0cee6f626e81fbaf4c8a286356ee2ae62f09d598ebd06d473ff
T2\R01_P01\round_3\post_review.json,378,b46be4db76b3ef9751984f6c89b158893163586ef0f21a9f3ed415f9bdd84e99
T2\R01_P01\round_3\repair_blueprint.json,2804,e9147407a22e594008b7adfcfc0ccda0d1a553bd6968e646a479f221459daf93
T2\R01_P01\round_3\repair_log.json,644,3128e405815dabf26a68b1927997d445a48d7d0ab094be305fbc9ea6abc901f8
T2\R01_P01\round_3\review_contract.json,2551,888c0d662def58c1adf1a44dfa169e75163410fbaf489002688e3ec7203b6c0a
T2\R01_P01\round_1\renders\front.png,7600,f27412371e5d94da8c9a20a6b25dd17749a807647e269ee12ec2a6be29e79242
T2\R01_P01\round_1\renders\isometric.png,27383,0cb15f2f852c744bef1cd961089e3c4ae20370f81870fdb6b33b00efdb9ed573
T2\R01_P01\round_1\renders\side.png,9311,8077997a224b0eacb338d0382a56116717dee4badef9c1c562ba1e00edb7900f
T2\R01_P01\round_1\renders\top.png,14761,f3f1131b3838407c58fb4c6a9986dcb4963765fbef31c2274f7a7f9d9d7dee9e
T2\R01_P01\round_2\renders\front.png,7475,91d9f054e43789b7edecdc656ec47127fffdf1bf1f985ffff5d6d6dbd3ce1329
T2\R01_P01\round_2\renders\isometric.png,36467,4a72028d111c7a4371a78b0c59e0484d2ec9f90c1824a8f6b19743f56becde88
T2\R01_P01\round_2\renders\side.png,7848,ba525928e6fbcc92a888d40316a7c623eaaf889b9f76f9effc50653d8e0ca207
T2\R01_P01\round_2\renders\top.png,7023,dcef23586eea68a34bfdaa8c3d13237ecd6847ee2ac124ccdded79b8758b1307
T2\R01_P01\round_3\renders\front.png,7418,fc16dafec74bc149b21ec9128053bc868e668f4f183aef9cb898e6270edc8983
T2\R01_P01\round_3\renders\isometric.png,36998,69664163ecf2af955b985ba04337620c9e87d3224af5c95d1912cbcff46ba2ae
