path,bytes,sha256
T0\R01_P00\round_0\agent_manifest.json,591,83c4d78d6eba6da8730d1ce574eb816f4d586375663cc91b7d895a1df733df3d
T0\R01_P00\round_0\agent_output.json,10885,03794ef15264cc9ab7d0e3b1a14232a4946ada390ad79a3b126095e9b9ea226f
T0\R01_P00\round_0\attempts\freecad_execution_01\cad_validity.json,708,3f11b436fed429c310b4da93324f03f898681517948dcbd45020eb27f307e37f
T0\R01_P00\round_0\attempts\freecad_execution_01\execution_result.json,725,c7cca579d406e6943e5cb36753b1ad8f6f89df208c64b8fb267847b14b3ecae0
T0\R01_P00\round_0\attempts\freecad_execution_01\freecad_job.json,206,c4aa9cf35dbdba8409467c7b03a5d42d9aa19fda53d64d49a23dd227ca2f3127
T0\R01_P00\round_0\attempts\freecad_execution_01\freecad_stderr.txt,59,084e87e873b55857151f36d2447b00a35e8947c6582f4d8a8b7c039fdbce2dc1
T0\R01_P00\round_0\attempts\freecad_execution_01\freecad_stdout.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
T0\R01_P00\round_0\attempts\freecad_execution_01\model.FCStd,58628,b8a61fb3d685f4eb5b02b609c17145f2298fcd225537bd244388bb1afada2ddb
T0\R01_P00\round_0\attempts\freecad_execution_01\model.step,54792,3c4488f54a7ff39b4dfe0d678ff71dccab3a09da64eb44f0e64cb6a42e393f26
T0\R01_P00\round_0\attempts\freecad_execution_01\model.stl,90084,959e8699dcbf9f261264b2c5be906fb62e60761f8cdd289131e165b3d94d2dfc
T0\R01_P00\round_0\attempts\freecad_execution_01\renders\front.png,9158,39958f1428510f16378d1ebf37ef5a25d09f5ab3bdc8166462665a670734f4d4
T0\R01_P00\round_0\attempts\freecad_execution_01\renders\isometric.png,19128,7e4c5de1413fe6fd3073f07215d7286dd0095cc9cb59ad511b01f80346a85c39
T0\R01_P00\round_0\attempts\freecad_execution_01\renders\side.png,10515,02ca7da717f6a189656d65987d3c5e899ec16bd06ed8b574a78b6b8865ce8db8
T0\R01_P00\round_0\attempts\freecad_execution_01\renders\top.png,9008,a2f0c6402566652f65ed31de51db79709d0ab3d5835a55534fc4ad7e36f57136
T0\R01_P00\round_0\cad_ir.json,7310,68e2c95d5ff5c0335656103784a3a0ea538ffb14d919c1356bf510e2cb057981
T0\R01_P00\round_0\cad_validity.json,818,69e794adaaef75984b03faf99915b2bd79f7cd99c3260cb432e3153336a35010
T0\R01_P00\round_0\execution_log.json,15652,de2efe5f00a834398fc8c52f8b828b6b25cb52546c2464b5793d234e0d2f4b31
T0\R01_P00\round_0\execution_result.json,835,6606b70e34404827f9e15cfe2448366d1ec8c5295f71c3096569f3f848b83fa3
T0\R01_P00\round_0\feature_graph.json,2513,6aa05650e63c31c9376c430c20e86b3a0f882539a605c198bfc91a2a0c7509c9
T0\R01_P00\round_0\feature_tree.json,5614,67ee67c8213af14416907254faf984b7a4258e4e600f6bcad40d0acd67215e11
T0\R01_P00\round_0\freecad_job.json,206,c4aa9cf35dbdba8409467c7b03a5d42d9aa19fda53d64d49a23dd227ca2f3127
T0\R01_P00\round_0\freecad_stderr.txt,59,084e87e873b55857151f36d2447b00a35e8947c6582f4d8a8b7c039fdbce2dc1
T0\R01_P00\round_0\freecad_stdout.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
T0\R01_P00\round_0\model.FCStd,58614,ebd729433d99d71bb846094a39c1490d277940a494609e1dd59b8d78627bb06c
T0\R01_P00\round_0\model.step,54792,065ade6772b9cdbb46a2e6254182dcd642fd8dd187ef71a18748047c9880c2df
T0\R01_P00\round_0\model.stl,90084,959e8699dcbf9f261264b2c5be906fb62e60761f8cdd289131e165b3d94d2dfc
T0\R01_P00\round_0\part_state.json,202,3150c294f00e49132865988a635fed90f4acfcf9b793c7dbd82504e441adf696
T0\R01_P00\round_0\plan_gate.json,251,a460d0a2a37d135cfd78d83be158e92bb49be6c9588bdd6cc4d5776c8f27e65f
T0\R01_P00\round_0\renders\front.png,9158,07ade636af5c0504ca26d76301dacd2a7bf2ed28dc7932d2617b1cb613e12834
T0\R01_P00\round_0\renders\isometric.png,19127,2c787318b8be5d4799647ac74c35924d4970eea59c4a02a66cd900cf377e2851
T0\R01_P00\round_0\renders\side.png,10516,48760765e4ffd7282b540325d9756733fba93d211992e0d314c65446328b3bf8
T0\R01_P00\round_0\renders\top.png,9008,12168899670971e9b98ba6eccdcc83c0ae6317c90fcc5a2ef4ddbac6b8eb9602
T0\R01_P01\round_0\agent_manifest.json,591,7325c11733fc49600a80996de21bbdc0535b2bc5858cf5367a4f31214f82cd9e
T0\R01_P01\round_0\agent_output.json,8656,8202e9eb84e43eb7a687268757f24b615f61f76ba217e8ec2b4142a6953332a3
T0\R01_P01\round_0\attempts\freecad_execution_01\cad_validity.json,708,e5831dcba90d8322cd709157675fd7b117f219e12839f7d21d57cbfbc2155918
T0\R01_P01\round_0\attempts\freecad_execution_01\execution_result.json,725,f5c8c19424bb120c62fdbaca25b37e9839acf2073075bf50bb113075072df0d9
T0\R01_P01\round_0\attempts\freecad_execution_01\freecad_job.json,206,904978068d64a0a6d375fce53a6a9cfb9188f1785f81858f2a321f93a45d864b
T0\R01_P01\round_0\attempts\freecad_execution_01\freecad_stderr.txt,59,084e87e873b55857151f36d2447b00a35e8947c6582f4d8a8b7c039fdbce2dc1
T0\R01_P01\round_0\attempts\freecad_execution_01\freecad_stdout.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
T0\R01_P01\round_0\attempts\freecad_execution_01\model.FCStd,14515,f52271759fcc6457e6100f7314d7cab8edc16501705bc2aaf72ad598479ef3b0
T0\R01_P01\round_0\attempts\freecad_execution_01\model.step,22273,6af38ccb4ddf9cfd49632b93f63df0c69e43556a240e073620a6241a3fd237e4
T0\R01_P01\round_0\attempts\freecad_execution_01\model.stl,50284,0ec648e391a273c9d12399db4a56f483a9d5257835560f90fa2116c5449fc9fc
T0\R01_P01\round_0\attempts\freecad_execution_01\renders\front.png,7453,42da72c5d90a0b9c35420afa1280b4380eb6a2b42d8e0d74fe350e652c180252
T0\R01_P01\round_0\attempts\freecad_execution_01\renders\isometric.png,18317,e74f31c90b687ea2304a9d069825630e91883693131a6c9224e9920b008383af
T0\R01_P01\round_0\attempts\freecad_execution_01\renders\side.png,8412,f4befc33f87625334ab23286f9b3706bbeb5e6f748b4189c3b6c5318b817879e
T0\R01_P01\round_0\attempts\freecad_execution_01\renders\top.png,8593,d15a5fe5d5cd13169dff8df30a1b22c2f64c732697787fa57f3b493bbe7a698c
T0\R01_P01\round_0\cad_ir.json,5379,027c58572f1783544d9c68ed9464cecfbc0101a8f131277f51c3a086c35129fe
T0\R01_P01\round_0\cad_validity.json,831,accaf0a7ba5935e04b6b246e78450cf214af677f06ddf88272a3b34c070dfa6c
T0\R01_P01\round_0\execution_log.json,11196,35c4184727285fea62c610ab9fcf71a981beb2d77b6272eb64859c2945bdea87
T0\R01_P01\round_0\execution_result.json,848,1eab22b56a50c98b56728982bca84a0c507477df7b350d7a4ac2369e21bb5b2b
T0\R01_P01\round_0\feature_graph.json,2431,768639f54caa1e0e6cf67be7de8ce608efd647494ca42196b849dcea786bce3c
T0\R01_P01\round_0\feature_tree.json,3411,a4c479c66bf534e35d0c6b9b9f81323ce380a1cae983776e1334ec4d72e41073
T0\R01_P01\round_0\freecad_job.json,206,904978068d64a0a6d375fce53a6a9cfb9188f1785f81858f2a321f93a45d864b
T0\R01_P01\round_0\freecad_stderr.txt,59,084e87e873b55857151f36d2447b00a35e8947c6582f4d8a8b7c039fdbce2dc1
T0\R01_P01\round_0\freecad_stdout.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
T0\R01_P01\round_0\model.FCStd,14513,149e847dc42879c10109575832f3b5455d050acc87174f13fd44c6e96c7837d6
T0\R01_P01\round_0\model.step,22273,0412bce8f1e896135f53b804ae4c6de0bf26c8487224aea0eadacce52bf29ea5
T0\R01_P01\round_0\model.stl,50284,0ec648e391a273c9d12399db4a56f483a9d5257835560f90fa2116c5449fc9fc
T0\R01_P01\round_0\part_state.json,202,c73ff190ed1a688ea8dc9e155d1aa902315a5755f3a0b14091cffeeacd687e7a
T0\R01_P01\round_0\plan_gate.json,251,ecc092a52590a6d9283bf62dcedad4c1659e58759ee7e81f2402f6dda00c576e
T0\R01_P01\round_0\renders\front.png,7453,7f09d5770ea8264a65d97ac2dabce69c58bc011372be698ba1eb59e60206d054
T0\R01_P01\round_0\renders\isometric.png,18318,b3de47761c702c1c3564cacae3792f776e9183ed629860e83d8114e0174a6545
T0\R01_P01\round_0\renders\side.png,8413,884891d5474c73abd4c672939a12a0d786da50db1c9b48a9833c7fba71e207af
T0\R01_P01\round_0\renders\top.png,8594,0addc975bf4b14afa6ca8e2e39526063df257216849f3ed03de185589e9e12f9
T0\R01_P02\round_0\agent_manifest.json,591,70d91bee3b81cfa20e7cf4599b163e2d0c388225f7310b09cd2b9f443c83cdbc
