part_id,status,producer,condition,context_isolation,packet_sha256,blueprint_sha256,output_sha256,skills,model_snapshot,tokens,repair_round,created_at
R01_P00,SUCCESS,current_interactive_codex,T1_INTERACTIVE,False,6da571851aba6b7b77d491823c00dda678d0fc5f361cb2d513b82b25a67430bf,ee897e4e363b83cf237e02ac2530ae7a05a113a3003d4692357b00094ba6631b,4ef26dcb502a8e6151100fc0bc5995a6b1c1284b49ff95578c85dc0a15061465,"{'skills/visual_grounding/SKILL.md': '84e71979276408900100d8145b71cd8b85d43e7388bacb4dcfc9d4876ddd522e', 'skills/semantic_mechanical_reasoning/SKILL.md': '73d5178df250f8142e13e00dca33920c705056e8acce8e841f356e1619e00e41', 'skills/robot_part_modeling_standard/SKILL.md': '97ceaabc17fdec6cc7281078bc6b68b15414a776d2afc8a383601f8bd96a0e8d', 'skills/mechanical_detail_planning/SKILL.md': '37a255778a0a7e386f78dca55d68acbd78c8f95a53eb671e973873b7f2bbfbac', 'skills/freecad_part_modeling/SKILL.md': 'c66e7b9ef39dc8b9752c963df80eea38c6716a6e3b861e3de12522d0bf7b2434'}",UNAVAILABLE,UNAVAILABLE,0,2026-09-06T12:47:25.927582+00:00
R01_P01,SUCCESS,current_interactive_codex,T1_INTERACTIVE,False,20063760d01b6059809e51d9b1f00676455d04eace640687d6750e79e7170e0f,ee897e4e363b83cf237e02ac2530ae7a05a113a3003d4692357b00094ba6631b,70b2d15002884f2b3b191ed601bf5109e9a1f0ce5bb4dd171cfe35269c5471d4,"{'skills/visual_grounding/SKILL.md': '84e71979276408900100d8145b71cd8b85d43e7388bacb4dcfc9d4876ddd522e', 'skills/semantic_mechanical_reasoning/SKILL.md': '73d5178df250f8142e13e00dca33920c705056e8acce8e841f356e1619e00e41', 'skills/robot_part_modeling_standard/SKILL.md': '97ceaabc17fdec6cc7281078bc6b68b15414a776d2afc8a383601f8bd96a0e8d', 'skills/mechanical_detail_planning/SKILL.md': '37a255778a0a7e386f78dca55d68acbd78c8f95a53eb671e973873b7f2bbfbac', 'skills/freecad_part_modeling/SKILL.md': 'c66e7b9ef39dc8b9752c963df80eea38c6716a6e3b861e3de12522d0bf7b2434'}",UNAVAILABLE,UNAVAILABLE,0,2026-09-06T12:47:26.090453+00:00
R01_P02,SUCCESS,current_interactive_codex,T1_INTERACTIVE,False,cc3f54c6d20e2781643df3048cefa3535032d9a74364d66daf8225137f45327a,ee897e4e363b83cf237e02ac2530ae7a05a113a3003d4692357b00094ba6631b,fd2323906c369c0c9cf0e6323a03193d8cc797b95da30438fe11a105fa6fb3ae,"{'skills/visual_grounding/SKILL.md': '84e71979276408900100d8145b71cd8b85d43e7388bacb4dcfc9d4876ddd522e', 'skills/semantic_mechanical_reasoning/SKILL.md': '73d5178df250f8142e13e00dca33920c705056e8acce8e841f356e1619e00e41', 'skills/robot_part_modeling_standard/SKILL.md': '97ceaabc17fdec6cc7281078bc6b68b15414a776d2afc8a383601f8bd96a0e8d', 'skills/mechanical_detail_planning/SKILL.md': '37a255778a0a7e386f78dca55d68acbd78c8f95a53eb671e973873b7f2bbfbac', 'skills/freecad_part_modeling/SKILL.md': 'c66e7b9ef39dc8b9752c963df80eea38c6716a6e3b861e3de12522d0bf7b2434'}",UNAVAILABLE,UNAVAILABLE,0,2026-09-06T12:47:26.383433+00:00
R01_P03,SUCCESS,current_interactive_codex,T1_INTERACTIVE,False,3cc46252e53080828e8d15132c7d8834ba4b66e429d45dc4e6549357e34cae48,ee897e4e363b83cf237e02ac2530ae7a05a113a3003d4692357b00094ba6631b,54698e213065fcd6b3a52f629d92df7dac7d56a06efc05f25897292480f800a2,"{'skills/visual_grounding/SKILL.md': '84e71979276408900100d8145b71cd8b85d43e7388bacb4dcfc9d4876ddd522e', 'skills/semantic_mechanical_reasoning/SKILL.md': '73d5178df250f8142e13e00dca33920c705056e8acce8e841f356e1619e00e41', 'skills/robot_part_modeling_standard/SKILL.md': '97ceaabc17fdec6cc7281078bc6b68b15414a776d2afc8a383601f8bd96a0e8d', 'skills/mechanical_detail_planning/SKILL.md': '37a255778a0a7e386f78dca55d68acbd78c8f95a53eb671e973873b7f2bbfbac', 'skills/freecad_part_modeling/SKILL.md': 'c66e7b9ef39dc8b9752c963df80eea38c6716a6e3b861e3de12522d0bf7b2434'}",UNAVAILABLE,UNAVAILABLE,0,2026-09-06T12:47:26.678009+00:00
R01_P04,SUCCESS,current_interactive_codex,T1_INTERACTIVE,False,cb8f2611430a8f043bf985f99b4a7f60aed559d3835eacae95554fd633642993,ee897e4e363b83cf237e02ac2530ae7a05a113a3003d4692357b00094ba6631b,52ca94421adb8ad9f12854990fbac9699a91dadc777914895f258f8b763a6611,"{'skills/visual_grounding/SKILL.md': '84e71979276408900100d8145b71cd8b85d43e7388bacb4dcfc9d4876ddd522e', 'skills/semantic_mechanical_reasoning/SKILL.md': '73d5178df250f8142e13e00dca33920c705056e8acce8e841f356e1619e00e41', 'skills/robot_part_modeling_standard/SKILL.md': '97ceaabc17fdec6cc7281078bc6b68b15414a776d2afc8a383601f8bd96a0e8d', 'skills/mechanical_detail_planning/SKILL.md': '37a255778a0a7e386f78dca55d68acbd78c8f95a53eb671e973873b7f2bbfbac', 'skills/freecad_part_modeling/SKILL.md': 'c66e7b9ef39dc8b9752c963df80eea38c6716a6e3b861e3de12522d0bf7b2434'}",UNAVAILABLE,UNAVAILABLE,0,2026-09-06T12:47:26.934254+00:00
R02_P00,SUCCESS,current_interactive_codex,T1_INTERACTIVE,False,e6a90a8eacbfccfd3a585517d1d4fac8c9a2009f587891a4f8c0c84aa5a67243,ee897e4e363b83cf237e02ac2530ae7a05a113a3003d4692357b00094ba6631b,6355396f7b97509e250979ea06feab771d88fe14ac4cf644c187930f797cb7f7,"{'skills/visual_grounding/SKILL.md': '84e71979276408900100d8145b71cd8b85d43e7388bacb4dcfc9d4876ddd522e', 'skills/semantic_mechanical_reasoning/SKILL.md': '73d5178df250f8142e13e00dca33920c705056e8acce8e841f356e1619e00e41', 'skills/robot_part_modeling_standard/SKILL.md': '97ceaabc17fdec6cc7281078bc6b68b15414a776d2afc8a383601f8bd96a0e8d', 'skills/mechanical_detail_planning/SKILL.md': '37a255778a0a7e386f78dca55d68acbd78c8f95a53eb671e973873b7f2bbfbac', 'skills/freecad_part_modeling/SKILL.md': 'c66e7b9ef39dc8b9752c963df80eea38c6716a6e3b861e3de12522d0bf7b2434'}",UNAVAILABLE,UNAVAILABLE,0,2026-09-06T12:47:27.100599+00:00
R02_P01,SUCCESS,current_interactive_codex,T1_INTERACTIVE,False,c2ad3fd5bba9b97827f66165ccc9c30bda6d84e50a7e4c3a963372b8a474defe,ee897e4e363b83cf237e02ac2530ae7a05a113a3003d4692357b00094ba6631b,0958482e0ef2c40fb9bfe914b5e61419c0b97bdfdcbb962f2ecf1a434e092884,"{'skills/visual_grounding/SKILL.md': '84e71979276408900100d8145b71cd8b85d43e7388bacb4dcfc9d4876ddd522e', 'skills/semantic_mechanical_reasoning/SKILL.md': '73d5178df250f8142e13e00dca33920c705056e8acce8e841f356e1619e00e41', 'skills/robot_part_modeling_standard/SKILL.md': '97ceaabc17fdec6cc7281078bc6b68b15414a776d2afc8a383601f8bd96a0e8d', 'skills/mechanical_detail_planning/SKILL.md': '37a255778a0a7e386f78dca55d68acbd78c8f95a53eb671e973873b7f2bbfbac', 'skills/freecad_part_modeling/SKILL.md': 'c66e7b9ef39dc8b9752c963df80eea38c6716a6e3b861e3de12522d0bf7b2434'}",UNAVAILABLE,UNAVAILABLE,0,2026-09-06T12:47:27.290378+00:00
R02_P02,SUCCESS,current_interactive_codex,T1_INTERACTIVE,False,82ac6671cec93ab3e86315676e08e51a89557fffc568498f4512801e9aefea78,ee897e4e363b83cf237e02ac2530ae7a05a113a3003d4692357b00094ba6631b,8db0901036ccdcace7eaa5da3b8f368962fba9c3aaced5ec96061cae492ff124,"{'skills/visual_grounding/SKILL.md': '84e71979276408900100d8145b71cd8b85d43e7388bacb4dcfc9d4876ddd522e', 'skills/semantic_mechanical_reasoning/SKILL.md': '73d5178df250f8142e13e00dca33920c705056e8acce8e841f356e1619e00e41', 'skills/robot_part_modeling_standard/SKILL.md': '97ceaabc17fdec6cc7281078bc6b68b15414a776d2afc8a383601f8bd96a0e8d', 'skills/mechanical_detail_planning/SKILL.md': '37a255778a0a7e386f78dca55d68acbd78c8f95a53eb671e973873b7f2bbfbac', 'skills/freecad_part_modeling/SKILL.md': 'c66e7b9ef39dc8b9752c963df80eea38c6716a6e3b861e3de12522d0bf7b2434'}",UNAVAILABLE,UNAVAILABLE,0,2026-09-06T12:47:27.506696+00:00
R02_P03,SUCCESS,current_interactive_codex,T1_INTERACTIVE,False,205359348f0d5434eea772863970a8cd33ded41c4432f8f716cc72977c18343f,ee897e4e363b83cf237e02ac2530ae7a05a113a3003d4692357b00094ba6631b,1f1137db3b45afa935b18e49923629df069997439ffd61e7f5a87efdda4883b2,"{'skills/visual_grounding/SKILL.md': '84e71979276408900100d8145b71cd8b85d43e7388bacb4dcfc9d4876ddd522e', 'skills/semantic_mechanical_reasoning/SKILL.md': '73d5178df250f8142e13e00dca33920c705056e8acce8e841f356e1619e00e41', 'skills/robot_part_modeling_standard/SKILL.md': '97ceaabc17fdec6cc7281078bc6b68b15414a776d2afc8a383601f8bd96a0e8d', 'skills/mechanical_detail_planning/SKILL.md': '37a255778a0a7e386f78dca55d68acbd78c8f95a53eb671e973873b7f2bbfbac', 'skills/freecad_part_modeling/SKILL.md': 'c66e7b9ef39dc8b9752c963df80eea38c6716a6e3b861e3de12522d0bf7b2434'}",UNAVAILABLE,UNAVAILABLE,0,2026-09-06T12:47:27.642366+00:00
R02_P04,SUCCESS,current_interactive_codex,T1_INTERACTIVE,False,097fa624d0abfefd1e446dabadfdb9af685a6445f5690d03ee59be5f2c8622ac,ee897e4e363b83cf237e02ac2530ae7a05a113a3003d4692357b00094ba6631b,94aba40c467f9863d12f248b65a8f60051f5109db32f0c2bcacf75f429b6a8f2,"{'skills/visual_grounding/SKILL.md': '84e71979276408900100d8145b71cd8b85d43e7388bacb4dcfc9d4876ddd522e', 'skills/semantic_mechanical_reasoning/SKILL.md': '73d5178df250f8142e13e00dca33920c705056e8acce8e841f356e1619e00e41', 'skills/robot_part_modeling_standard/SKILL.md': '97ceaabc17fdec6cc7281078bc6b68b15414a776d2afc8a383601f8bd96a0e8d', 'skills/mechanical_detail_planning/SKILL.md': '37a255778a0a7e386f78dca55d68acbd78c8f95a53eb671e973873b7f2bbfbac', 'skills/freecad_part_modeling/SKILL.md': 'c66e7b9ef39dc8b9752c963df80eea38c6716a6e3b861e3de12522d0bf7b2434'}",UNAVAILABLE,UNAVAILABLE,0,2026-09-06T12:47:27.836413+00:00
