part_id,status,returncode,elapsed_seconds,error
R01_P00,SUCCESS,0,5.788492441177368,
R01_P01,SUCCESS,0,5.10645866394043,
R01_P02,SUCCESS,0,5.18439245223999,
R01_P03,SUCCESS,0,5.246042728424072,
R01_P04,SUCCESS,0,5.143346548080444,
R02_P00,SUCCESS,0,5.347381353378296,
R02_P01,SUCCESS,0,5.092217683792114,
R02_P02,SUCCESS,0,5.101373910903931,
R02_P03,SUCCESS,0,5.227601766586304,
R02_P04,FAILURE,1,5.733892917633057,RuntimeError: CAD validity/editability gate failed
R02_P05,SUCCESS,0,5.088687896728516,
R02_P06,SUCCESS,0,5.127423524856567,
