part_id,status,features,critical_features,unimplemented_features,critical_unimplemented,bodies,operations,errors
R01_P00,PASS,3,2,0,0,1,7,[]
R01_P01,PASS,3,1,0,0,1,7,[]
R01_P02,PASS,4,3,0,0,3,13,[]
R01_P03,PASS,4,3,0,0,3,13,[]
R01_P04,PASS,3,3,0,0,4,11,[]
R02_P00,PLAN_INCOMPLETE,,,,,,,"""FileNotFoundError: [Errno 2] No such file or directory: 'D:\\\\CADtest\\\\papertest\\\\try4\\\\T1\\\\R02_P00\\\\round_0\\\\agent_output.json'"""
R02_P01,PLAN_INCOMPLETE,,,,,,,"""FileNotFoundError: [Errno 2] No such file or directory: 'D:\\\\CADtest\\\\papertest\\\\try4\\\\T1\\\\R02_P01\\\\round_0\\\\agent_output.json'"""
R02_P02,PLAN_INCOMPLETE,,,,,,,"""FileNotFoundError: [Errno 2] No such file or directory: 'D:\\\\CADtest\\\\papertest\\\\try4\\\\T1\\\\R02_P02\\\\round_0\\\\agent_output.json'"""
R02_P03,PLAN_INCOMPLETE,,,,,,,"""FileNotFoundError: [Errno 2] No such file or directory: 'D:\\\\CADtest\\\\papertest\\\\try4\\\\T1\\\\R02_P03\\\\round_0\\\\agent_output.json'"""
R02_P04,PLAN_INCOMPLETE,,,,,,,"""FileNotFoundError: [Errno 2] No such file or directory: 'D:\\\\CADtest\\\\papertest\\\\try4\\\\T1\\\\R02_P04\\\\round_0\\\\agent_output.json'"""
R02_P05,PLAN_INCOMPLETE,,,,,,,"""FileNotFoundError: [Errno 2] No such file or directory: 'D:\\\\CADtest\\\\papertest\\\\try4\\\\T1\\\\R02_P05\\\\round_0\\\\agent_output.json'"""
R02_P06,PLAN_INCOMPLETE,,,,,,,"""FileNotFoundError: [Errno 2] No such file or directory: 'D:\\\\CADtest\\\\papertest\\\\try4\\\\T1\\\\R02_P06\\\\round_0\\\\agent_output.json'"""
